"Source Name","Sample Name.x","Characteristics: organism","Factor Value: Spaceflight.x","Factor Value: Ecotype.x","Characteristics: genotype.x","Characteristics: Material Type.x","Characteristics: age.x","Characteristics: Seed Source.x","Protocol REF...10.x","Parameter Value: Canister and Position","Parameter Value: Hardware.x","Parameter Value: Growth Temperature.x","Parameter Value: growth environment.x","Parameter Value: Growth Medium.x","Parameter Value: light source.x","Parameter Value: light cycle.x","Parameter Value: Growth Time.x","Parameter Value: Quantity of Growth Medium","Parameter Value: container","Parameter Value: Number of seeds per container.x","Parameter Value: Container Diameter","Protocol REF...23.x","Parameter Value: Sample storage temperature.x","Parameter Value: Age at sample collection","Parameter Value: Sample Preservation Method.x","Comment: Original Submitted Sample Name.x","Sample Name.y","Comment: Original Submitted Sample Name.y","Characteristics: Organism.x","Characteristics: Material Type.y","Characteristics: Variety","Characteristics: genotype.y","Characteristics: developmental stage","Characteristics: age.y","Characteristics: Seed Source.y","Protocol REF...11","Factor Value: Spaceflight.y","Parameter Value: Hardware.y","Comment: Initiation Date","Comment: Completion Date","Parameter Value: light source.y","Parameter Value: Growth Temperature.y","Parameter Value: Growth Medium.y","Parameter Value: Light quality","Parameter Value: Light intensity.x","Parameter Value: light cycle.y","Parameter Value: Growth Time.y","Protocol REF...23.y","Parameter Value: sample preservation temperature","Factor Value: Sample Preservation Method","Sample Name.x","Characteristics: Organism.y","Factor Value: Ecotype.y","Factor Value: Spaceflight.x","Factor Value: Treatment","Characteristics: organism part","Characteristics: Seed Source.x","Characteristics: stratification exposure","Protocol REF...10.y","Parameter Value: light source.x","Parameter Value: Hardware.x","Parameter Value: growth environment.y","Parameter Value: Growth Time.x","Protocol REF...15.x","Parameter Value: Sample Preservation Method.y","Parameter Value: Sample Storage Temperature.x","Sample Name.y","Characteristics: Organism.x","Characteristics: ecotype.x","Factor Value: Organism Part","Factor Value: Spaceflight.y","Characteristics: Material Type.x","Protocol REF...8","Parameter Value: light source.y","Parameter Value: Light intensity.y","Parameter Value: Hardware.y","Parameter Value: growth environment.x","Parameter Value: growth time","Protocol REF...14","Protocol REF...15.y","Parameter Value: Age at harvest","Parameter Value: Sample preservation method","Parameter Value: Sample storage temperature.y","Comment: Seed source","Comment: Sample name notes","Comment: Original Submitted Sample Name","Sample Name","Characteristics: Organism.y","Characteristics: ecotype.y","Characteristics: Seed Source.y","Characteristics: Material Type.y","Characteristics: Launch Mission","Factor Value: Spaceflight","Factor Value: Genotype","Protocol REF...10","Parameter Value: Hardware","Parameter Value: light cycle","Parameter Value: growth environment.y","Parameter Value: Growth Medium","Parameter Value: Growth Time.y","Parameter Value: Quantity of growth medium","Parameter Value: Number of seeds per container.y","Parameter Value: light regimen","Protocol REF...19","Comment: Sample Description","Protocol REF...21","Parameter Value: Sample Preservation Method","Parameter Value: Sample Storage Temperature.y","Protocol REF...24","Parameter Value: ionizing radiation","Parameter Value: vehicle","Parameter Value: absorbed radiation dose","Parameter Value: absorbed radiation dose rate","Parameter Value: exposure duration","Parameter Value: ionizing radiation categorized by source"
"60_FC1_S7_L001_R1_001 (bzip60F_3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486041","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip60-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip60-2_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"60_FD2_S14_L002_R1_001 (bzip60F_4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486042","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip60-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip60-2_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"60_GA2_S22_L002_R1_001 (bzip60G_1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486043","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip60-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip60-2_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"60_GB3_S20_L002_R1_001 (bzip60G_2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486044","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip60-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip60-2_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"60_GC1_S25_L003_R1_001 (bzip60G_3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486045","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip60-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip60-2_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"60_GD2_S33_L003_R1_001 (bzip60G_4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486046","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip60-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip60-2_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"68_FA3_S5_L001_R1_001 (bzip28 bzip60F_1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486047","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"68_FA4_S34_L004_R1_001 (bzip28 bzip60F_2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486048","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"68_FB4_S4_L001_R1_001 (bzip28 bzip60F_3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486049","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"68_FC2_S8_L001_R1_001 (bzip28 bzip60F_4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486050","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"68_FD3_S16_L002_R1_001 (bzip28 bzip60F_5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486051","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"68_GA3_S13_L002_R1_001 (bzip28 bzip60G_1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486052","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"68_GA4_S15_L002_R1_001 (bzip28 bzip60G_2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486053","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"68_GB4_S32_L003_R1_001 (bzip28 bzip60G_3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486054","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"68_GC2_S26_L003_R1_001 (bzip28 bzip60G_5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486055","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"68_GD3_S24_L003_R1_001 (bzip28 bzip60G_4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486056","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip28-2 bzip60-1","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2 bzip60-1_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day03","Arabidopsis thaliana","Col-0","Space Flight","Light Treatment","Plant Roots","Not Available","6 day","growth protocol","ambient light","petri dish","ISS-Columbus","3 day","sample collection","RNALater","-80 degree Celsius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day06","Arabidopsis thaliana","Col-0","Space Flight","Light Treatment","Plant Roots","Not Available","6 day","growth protocol","ambient light","petri dish","ISS-Columbus","6 day","sample collection","RNALater","-80 degree Celsius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day09","Arabidopsis thaliana","Col-0","Space Flight","Light Treatment","Plant Roots","Not Available","6 day","growth protocol","ambient light","petri dish","ISS-Columbus","9 day","sample collection","RNALater","-80 degree Celsius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13","Arabidopsis thaliana","Col-0","Space Flight","Light Treatment","Plant Roots","Not Available","6 day","growth protocol","ambient light","petri dish","ISS-Columbus","13 day","sample collection","RNALater","-80 degree Celsius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
